date,prices,headlines,y
2018-01-17,"[25530.91517241 24824.01       24922.68       25075.13
 25295.87       25283.         25385.8        25369.13
 25574.73       25803.19       25792.86       26115.65
 26017.81       26071.72       26214.6        26210.81
 26252.12       26392.79       26616.71       26439.48
 26076.89       26149.39       26186.71       25520.96
 24345.75       24912.77       24893.35       23860.46
 24190.9        24601.27      ]","[[ 0.04791004 -0.08095776  0.09843668 ...  0.00836659  0.08948789
  -0.03461769]
 [-0.00513953 -0.0672035   0.15099424 ...  0.1096769   0.04116654
  -0.01945232]
 [-0.04972081 -0.10399888  0.13566596 ... -0.01072123 -0.03604905
   0.03134573]
 ...
 [ 0.06537502 -0.01731156  0.13184052 ... -0.00840361  0.01153196
   0.01211128]
 [ 0.06302505  0.01428836  0.1262395  ...  0.06657642 -0.04034361
  -0.03047079]
 [ 0.0019309   0.07487062  0.09408307 ... -0.03082198  0.07820143
  -0.06661603]]",1
2018-01-18,"[24824.01, 24922.68, 25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45]","[[ 0.003139   -0.0883964   0.07410901 ... -0.07389088 -0.04717019
   0.02263079]
 [-0.0389661   0.0687637   0.06641701 ...  0.03563706  0.03795647
  -0.13327061]
 [ 0.01061283 -0.05296162  0.03981094 ...  0.03055676  0.04555315
  -0.04439958]
 ...
 [-0.01992184 -0.0288635   0.02055887 ...  0.08015066 -0.04952662
  -0.04394387]
 [-0.05491827 -0.07347512  0.12478234 ... -0.05286197  0.00961697
   0.10256426]
 [ 0.08141978 -0.0378492   0.07899919 ...  0.00657754 -0.01660028
   0.02945966]]",0
2018-01-19,"[24922.68, 25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49]","[[-0.00440028 -0.05438242  0.07230448 ...  0.0397726   0.07379371
  -0.05320131]
 [ 0.02823378  0.02118675  0.03260202 ...  0.02777717 -0.0144213
   0.06855253]
 [ 0.04996263 -0.02883208 -0.02373017 ... -0.04189966 -0.0021843
  -0.03325282]
 ...
 [-0.03559888 -0.12326776 -0.03531923 ...  0.06454219 -0.02843995
  -0.03375322]
 [-0.02314382  0.00407201  0.10162667 ... -0.04126903  0.05399477
   0.00710222]
 [ 0.03115391 -0.07184527  0.08248317 ... -0.00613776  0.01408345
  -0.04132019]]",1
2018-01-22,"[25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37]","[[-0.00380181 -0.05508718  0.07725849 ...  0.03322854  0.0076889
   0.0647516 ]
 [-0.00552256  0.01665371  0.02690744 ... -0.02100294 -0.12078755
   0.04351985]
 [ 0.10761507 -0.09654011  0.01317109 ... -0.00142028  0.00702632
  -0.10463737]
 ...
 [ 0.04076296  0.00511025  0.03386004 ...  0.03037882 -0.00754264
  -0.03716273]
 [ 0.07904066  0.0039096   0.04908387 ...  0.00699755 -0.02067611
   0.0438576 ]
 [ 0.15376434  0.03214928  0.095147   ...  0.00902622 -0.01349287
   0.01102394]]",1
2018-01-23,"[25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38]","[[-0.07776848 -0.09314391  0.0247901  ... -0.01576539 -0.02795153
  -0.01148979]
 [-0.07965287  0.062437    0.07729453 ...  0.04628238  0.02404031
  -0.00679865]
 [-0.01775961 -0.13054297  0.00869631 ... -0.08099955 -0.00289986
  -0.05213855]
 ...
 [ 0.11166966  0.04677851  0.11915421 ... -0.03116072  0.00405102
   0.01409592]
 [ 0.07494736 -0.09638324  0.03332732 ...  0.0431847   0.05695373
   0.05403303]
 [ 0.00221126  0.024413    0.00453188 ... -0.05465792 -0.09162572
   0.05974464]]",0
2018-01-24,"[25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75]","[[ 0.03328498  0.01832189  0.0136625  ...  0.02555721  0.02496374
   0.00244176]
 [ 0.09324485 -0.01153344 -0.02397232 ...  0.08956564  0.03322782
  -0.09617671]
 [-0.00566904  0.02383496  0.08958237 ...  0.00895946  0.01954125
  -0.02167591]
 ...
 [ 0.11743539 -0.02422506  0.06684619 ...  0.01042801 -0.00357293
  -0.090483  ]
 [-0.00281001  0.00173039  0.05393078 ...  0.03908646  0.01346267
   0.03652342]
 [-0.0405948  -0.03994234 -0.03999907 ...  0.03387155  0.01816979
   0.01963075]]",1
2018-01-25,"[25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78]","[[ 0.01999044  0.034083   -0.02396018 ... -0.01370976  0.02835524
  -0.00908785]
 [ 0.07307412 -0.02561648  0.04021103 ...  0.02248727  0.08158761
  -0.0720606 ]
 [ 0.02411812 -0.04907215 -0.02593743 ...  0.02977273  0.03028902
  -0.01350959]
 ...
 [-0.00884871 -0.00791648  0.0522653  ...  0.02912483  0.04691247
   0.06645934]
 [-0.09977558  0.03395141  0.00040434 ...  0.02345268 -0.00732802
  -0.00682342]
 [-0.0924601   0.03973314  0.06910345 ...  0.04158557  0.01077225
   0.05245849]]",1
2018-01-26,"[25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48]","[[ 0.09437925  0.0334627   0.1187886  ...  0.07018355  0.02673277
  -0.04913917]
 [ 0.09346801 -0.08217467  0.0803019  ... -0.00404702 -0.01365558
   0.04332898]
 [-0.01091391 -0.03652017  0.08888448 ...  0.11989853  0.00755687
  -0.01936974]
 ...
 [-0.01143764 -0.00767412  0.09417506 ...  0.08652768 -0.01818258
  -0.05631251]
 [ 0.01530981 -0.0488456   0.0923636  ...  0.04419096 -0.00566407
  -0.06370677]
 [-0.00184023 -0.02053255  0.12455038 ... -0.03803088  0.06251086
   0.05726725]]",1
2018-01-29,"[25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99]","[[ 0.0125281  -0.02474722  0.05511242 ...  0.02848318 -0.00483147
   0.06258434]
 [-0.02059766 -0.11520304  0.14419745 ...  0.10186781 -0.0239038
  -0.04227432]
 [-0.01659299 -0.02802818  0.02504673 ...  0.02575121  0.01328445
   0.04762778]
 ...
 [ 0.03668842  0.05769142 -0.03276706 ...  0.0004289   0.01293007
   0.05581986]
 [-0.0103523  -0.02582978  0.01383932 ...  0.00995806  0.02770584
   0.04981069]
 [ 0.03668842  0.05769142 -0.03276706 ...  0.0004289   0.01293007
   0.05581986]]",0
2018-01-30,"[25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27]","[[ 0.05724231  0.01822458  0.06574304 ...  0.04042432 -0.00535118
  -0.02054852]
 [ 0.04353749 -0.07174568 -0.01379779 ...  0.08280101  0.01919012
  -0.09630674]
 [ 0.02395536  0.0204558   0.03266262 ...  0.05679851 -0.01344972
  -0.07843472]
 ...
 [ 0.09699182  0.00806957  0.01785246 ...  0.06377186 -0.03620191
  -0.04213965]
 [ 0.02182295  0.01031761  0.04155759 ...  0.08948455  0.03542314
   0.09512302]
 [ 0.01200392  0.03568224  0.08435697 ... -0.06816344 -0.01903367
  -0.01646028]]",0
