date,prices,headlines,y
2007-01-23,"[16441.35, 16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59]","[ 0.08136239  0.17474301 -0.03916562 ... -0.01551934 -0.03309775
  0.07107627]",1
2007-01-24,"[16469.99, 16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39]","[ 0.05031046  0.0399947  -0.00261593 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-01-25,"[16425.1, 16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4]","[ 0.07408259  0.04507657  0.01391024 ... -0.03321173 -0.09904819
  0.0356524 ]",0
2007-01-26,"[16530.94, 16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56]","[-0.01053739  0.00531059  0.0023266  ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-01-29,"[16462.74, 16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23]","[-0.0213097   0.0051181   0.00248578 ... -0.00964984  0.01761241
  0.03545844]",1
2007-01-30,"[16444.76, 16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3]","[ 0.06050532  0.05463506 -0.04599144 ... -0.13744428 -0.02987583
  0.05255981]",1
2007-01-31,"[16437.05, 16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14]","[ 0.06050532  0.05463506 -0.04599144 ... -0.13733062 -0.03002818
  0.05240111]",1
2007-02-01,"[16257.94, 16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66]","[ 0.06147951 -0.00487562 -0.02325295 ... -0.00964462  0.01761473
  0.03543715]",1
2007-02-02,"[16373.86, 16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.09512971 -0.07292914
 -0.0204687 ]",0
2007-02-05,"[16481.94, 16417.01, 16458.56, 16414.44, 16373.34, 16197.35, 15879.11, 15837.88, 15928.56, 15738.79, 15848.61, 15698.85, 15372.8, 15445.24, 15440.23, 15628.53, 15794.08, 15801.79, 15994.77, 15963.94, 16027.59, 16154.39, 16130.4, 16040.56, 16133.23, 16103.3, 16207.14, 16179.66, 16198.41, 16272.65]","[ 0.03230318 -0.04611415 -0.02040609 ... -0.09512971 -0.07292914
 -0.0204687 ]",1
