date,prices,headlines,y
2018-01-22,"[25075.13, 25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37]","[-0.00380181 -0.05508718  0.07725849 ...  0.00902622 -0.01349287
  0.01102394]",1
2018-01-23,"[25295.87, 25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38]","[-0.07776848 -0.09314391  0.0247901  ... -0.05465792 -0.09162572
  0.05974464]",0
2018-01-24,"[25283.0, 25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75]",[0.03328498 0.01832189 0.0136625  ... 0.03387155 0.01816979 0.01963075],1
2018-01-25,"[25385.8, 25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78]","[ 0.01999044  0.034083   -0.02396018 ...  0.04158557  0.01077225
  0.05245849]",1
2018-01-26,"[25369.13, 25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48]","[ 0.09437925  0.0334627   0.1187886  ... -0.03803088  0.06251086
  0.05726725]",1
2018-01-29,"[25574.73, 25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99]","[ 0.0125281  -0.02474722  0.05511242 ...  0.0004289   0.01293007
  0.05581986]",0
2018-01-30,"[25803.19, 25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27]","[ 0.05724231  0.01822458  0.06574304 ... -0.06816344 -0.01903367
 -0.01646028]",0
2018-01-31,"[25792.86, 26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03]","[ 0.1352764  -0.0041692   0.07152672 ...  0.04992305 -0.06193998
  0.08825734]",1
2018-02-01,"[26115.65, 26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2]","[-0.03830881 -0.07046812 -0.12405652 ...  0.08142476  0.02432687
  0.01273068]",1
2018-02-02,"[26017.81, 26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98]","[ 0.02494634 -0.05956812  0.05312754 ...  0.0344264   0.05339786
  0.05573236]",0
2018-02-05,"[26071.72, 26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06]","[-0.03251691 -0.03947635 -0.00877335 ...  0.01601952  0.01764886
  0.08521839]",0
2018-02-06,"[26214.6, 26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76]","[ 0.03701167 -0.06856959  0.0148416  ...  0.12494404 -0.01857858
 -0.00012832]",1
2018-02-07,"[26210.81, 26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12]","[ 0.05759837  0.02983223 -0.02171907 ... -0.00251428 -0.09054177
 -0.01778697]",0
2018-02-08,"[26252.12, 26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36]","[ 0.02799309 -0.09915682  0.02930271 ...  0.10873715 -0.0330966
  0.0087141 ]",0
2018-02-09,"[26392.79, 26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21]","[-0.08195575  0.0225907   0.03303503 ... -0.02715991 -0.03375028
 -0.05437394]",1
2018-02-12,"[26616.71, 26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74]","[-0.03863264 -0.08374632  0.00018987 ...  0.04576585 -0.00212014
  0.03178752]",1
2018-02-13,"[26439.48, 26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61]","[ 0.03081435 -0.09534355  0.05301331 ...  0.0469214   0.02271766
  0.0230479 ]",1
2018-02-14,"[26076.89, 26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03]","[ 0.034825    0.01635804 -0.02017353 ...  0.08578707 -0.0300797
 -0.07163192]",1
2018-02-15,"[26149.39, 26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12]","[-0.00766226 -0.02678965  0.0919622  ...  0.03697642 -0.02661703
  0.06377309]",1
2018-02-16,"[26186.71, 25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66]","[ 0.04445622  0.02545503  0.07706999 ...  0.06156576  0.04762832
 -0.02889661]",1
2018-02-20,"[25520.96, 24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51]","[ 0.01780217 -0.0082326   0.05083427 ...  0.04994201  0.03030222
  0.13794336]",0
2018-02-21,"[24345.75, 24912.77, 24893.35, 23860.46, 24190.9, 24601.27, 24640.45, 24893.49, 25200.37, 25219.38, 24964.75, 24797.78, 24962.48, 25309.99, 25709.27, 25410.03, 25029.2, 24608.98, 24538.06, 24874.76, 24884.12, 24801.36, 24895.21, 25335.74, 25178.61, 25007.03, 24758.12, 24873.66, 24946.51, 24610.91]","[ 0.08027587 -0.01990771  0.03339453 ...  0.07746155  0.01324454
 -0.0323402 ]",0
